,date,index
537,2021-12-09,735
538,2021-12-10,762
539,2021-12-11,750
540,2021-12-12,694
541,2021-12-13,628
542,2021-12-14,570
543,2021-12-15,606
544,2021-12-16,597
545,2021-12-17,677
546,2021-12-18,674
547,2021-12-19,638
548,2021-12-20,598
549,2021-12-21,556
550,2021-12-22,663
551,2021-12-23,644
552,2021-12-24,705
553,2021-12-25,727
554,2021-12-26,765
555,2021-12-27,703
556,2021-12-28,662
557,2021-12-29,606
558,2021-12-30,592
559,2021-12-31,738
560,2022-01-01,863
